"Code","Name","Latitude","Longitude","tACANavg","tACANstd","tSCARavg","tSCARstd","YEAR","tHerbiBiomass","Reef Type","Depth"
"PHMR 09","Wilson Caye",16.22111,-88.58796,0,0,477,524,"2021",477,NA,1.5
"PHMR 10","BANK 2",16.17936,-88.55684,248,746,702,435,"2021",950,NA,3.9
"Pig Sty","Pig Sty",18.18163,-87.82744,575,436,602,580,"2018",1177,NA,11.3
"R01","LHRA",17.4735,-87.4864,501.52232807443,689.59524183342,681.02289673741,549.4470161272,"2023",1182.54522481184,"Atoll",NA
"R02","LHRA",17.4719,-87.4873,371.63261531499,423.0504151491,2316.4993459644,2516.9475698366,"2023",2688.13196127939,"Atoll",NA
"R03","LHRA",17.4618,-87.4986,4639.8515055962,10409.112909735,7556.6208699043,15251.764068879,"2023",12196.4723755005,"Atoll",NA
"R04","LHRA",17.4459,-87.5283,215.23097942402,192.64974618297,1831.8267405944,970.17099474861,"2023",2047.05772001842,"Atoll",NA
"R05","LHRA",17.4432,-87.5293,170.73805678522,224.04585155435,1615.5911312361,1425.6166411251,"2023",1786.32918802132,"Atoll",NA
"R06","LHRA",17.3923,-87.4624,164.96622973575,194.61531334781,564.34279964258,407.66334754061,"2023",729.30902937833,"Atoll",NA
"R07","LHRA",17.3936,-87.4635,309.90338412806,311.58195114841,230.20645658025,445.35774631346,"2023",540.10984070831,"Atoll",NA
"R08","LHRA",17.3837,-87.5184,84.603346302451,120.10433808354,44.454733613028,58.967126966602,"2023",129.058079915479,"Atoll",NA
"R10 DFR","LHRA",17.3097,-87.5836,198.07551725591,173.29625307779,531.4247153233,439.73659086557,"2023",729.50023257921,"Atoll",NA
"R10 DFR","R10 DFR",17.3097,-87.58365,960,1303,1151,1061,"2021",2111,NA,3.6
"R11 SFR","LHRA",17.2574,-87.572,199.8014332966,475.74682462075,127.77493097768,148.50117260477,"2023",327.57636427428,"Atoll",NA
"R11 SFR","R11 SFR",17.25742,-87.57198,216,228,430,315,"2021",646,NA,10.6
"R12","LHRA",17.2243,-87.6046,133.94157632169,120.5889596981,346.05407097774,356.56818304513,"2023",479.99564729943,"Atoll",NA
